"A-7-6"|Yes|"44676888"|"73022534"
"A-6"|Yes|"44676887"|"73022533"
"A-6"|Yes|"44677005"|"73022663"
"A-6"|Yes|"44677004"|"73022662"
"A-6"|Yes|"44677003"|"73022661"
"A-7-5"|Yes|"44677002"|"73022660"
"A-7-6"|Yes|"44677001"|"73022659"
"A-6"|Yes|"44677000"|"73022658"
"A-6"|Yes|"44676999"|"73022657"
"A-7-6"|Yes|"44676998"|"73022656"
"A-7-6"|Yes|"44676997"|"73022655"
"A-7-6"|Yes|"44676996"|"73022654"
"A-7-6"|Yes|"44676995"|"73022653"
"A-6"|Yes|"44676994"|"73022652"
"A-6"|Yes|"44676993"|"73022651"
"A-7-6"|Yes|"44676992"|"73022650"
"A-7-6"|Yes|"44676991"|"73022649"
"A-6"|Yes|"44676990"|"73022648"
"A-7-6"|Yes|"44676989"|"73022647"
"A-7-6"|Yes|"44676988"|"73022646"
"A-7-6"|Yes|"44676987"|"73022645"
"A-6"|Yes|"44676986"|"73022644"
"A-7-6"|Yes|"44676985"|"73022643"
"A-6"|Yes|"44676984"|"73022642"
"A-7-6"|Yes|"44676983"|"73022641"
"A-7-6"|Yes|"44676982"|"73022640"
"A-6"|Yes|"44676981"|"73022639"
"A-7-6"|Yes|"44676980"|"73022638"
"A-6"|Yes|"44676979"|"73022637"
"A-7-6"|Yes|"44676978"|"73022636"
"A-7-6"|Yes|"44676977"|"73022635"
"A-7-6"|Yes|"44676976"|"73022634"
"A-6"|Yes|"44676975"|"73022633"
"A-7-6"|Yes|"44676974"|"73022632"
"A-6"|Yes|"44676973"|"73022631"
"A-6"|Yes|"44676972"|"73022630"
"A-6"|Yes|"44676971"|"73022629"
"A-6"|Yes|"44676970"|"73022628"
"A-6"|Yes|"44676969"|"73022627"
"A-7-6"|Yes|"44676968"|"73022626"
"A-6"|Yes|"44676967"|"73022625"
"A-6"|Yes|"44676966"|"73022624"
"A-6"|Yes|"44676965"|"73022623"
"A-6"|Yes|"44676964"|"73022622"
"A-6"|Yes|"44676963"|"73022621"
"A-6"|Yes|"44676962"|"73022620"
"A-6"|Yes|"44676961"|"73022619"
"A-6"|Yes|"44676960"|"73022618"
"A-7-6"|Yes|"44676959"|"73022617"
"A-7-6"|Yes|"44676958"|"73022616"
"A-6"|Yes|"44676957"|"73022615"
"A-7-6"|Yes|"44676956"|"73022614"
"A-7-6"|Yes|"44676955"|"73022613"
"A-6"|Yes|"44676954"|"73022612"
"A-7-5"|Yes|"44676953"|"73022611"
"A-7-6"|Yes|"44676952"|"73022610"
"A-6"|Yes|"44676951"|"73022609"
"A-6"|Yes|"44676950"|"73022608"
"A-7-6"|Yes|"44676949"|"73022607"
"A-7-6"|Yes|"44676948"|"73022606"
"A-7-6"|Yes|"44676947"|"73022605"
"A-7-6"|Yes|"44676946"|"73022604"
"A-6"|Yes|"44676945"|"73022603"
