6722|"354183"|"355411"|"20840852"
6722|"354182"|"355411"|"20840818"
6875|"354181"|"355411"|"20840785"
6722|"354180"|"355411"|"20840754"
6722|"354178"|"355411"|"20840721"
6722|"354177"|"355411"|"20840687"
1606|"354183"|"355405"|"20840854"
1606|"354182"|"355405"|"20840820"
1705|"354181"|"355405"|"20840783"
1606|"354180"|"355405"|"20840756"
1606|"354178"|"355405"|"20840723"
1606|"354177"|"355405"|"20840689"
10769|"354183"|"355402"|"20840860"
10769|"354182"|"355402"|"20840826"
10769|"354181"|"355402"|"20840776"
10769|"354180"|"355402"|"20840763"
10769|"354178"|"355402"|"20840729"
10769|"354177"|"355402"|"20840695"
19299|"354183"|"355401"|"20840861"
19299|"354182"|"355401"|"20840827"
19540|"354181"|"355401"|"20840787"
19299|"354180"|"355401"|"20840764"
19299|"354178"|"355401"|"20840730"
19299|"354177"|"355401"|"20840696"
970|"354183"|"355399"|"20840838"
970|"354182"|"355399"|"20840804"
1015|"354181"|"355399"|"20840790"
970|"354180"|"355399"|"20840749"
970|"354178"|"355399"|"20840707"
970|"354177"|"355399"|"20840673"
22063|"354183"|"355392"|"20840843"
22063|"354182"|"355392"|"20840809"
23360|"354181"|"355392"|"20840769"
22063|"354180"|"355392"|"20840742"
22063|"354178"|"355392"|"20840712"
22063|"354177"|"355392"|"20840678"
23474|"354183"|"355389"|"20840857"
23474|"354182"|"355389"|"20840823"
23586|"354181"|"355389"|"20840779"
23474|"354180"|"355389"|"20840760"
23474|"354178"|"355389"|"20840726"
23474|"354177"|"355389"|"20840692"
29174|"354183"|"355388"|"20840828"
29174|"354182"|"355388"|"20840794"
28980|"354181"|"355388"|"20840775"
29174|"354180"|"355388"|"20840736"
29174|"354178"|"355388"|"20840697"
29174|"354177"|"355388"|"20840663"
39775|"354183"|"355386"|"20840859"
39775|"354182"|"355386"|"20840825"
39775|"354181"|"355386"|"20840777"
39775|"354180"|"355386"|"20840762"
39775|"354178"|"355386"|"20840728"
39775|"354177"|"355386"|"20840694"
