|||"Rise"|"22847663"|"7979353"
|||"Talf"|"22847662"|"7979352"
|||"Rise"|"22847661"|"7979351"
|||"Talf"|"22847636"|"7979326"
|||"Rise"|"22847635"|"7979325"
|||"Rise"|"22847634"|"7979324"
|||"Talf"|"22847633"|"7979323"
|||"Talf"|"22847632"|"7979322"
|||"Rise"|"22847631"|"7979321"
|||"Rise"|"22847660"|"7979350"
|||"Rise"|"22847659"|"7979349"
|||"Rise"|"22847658"|"7979348"
|||"Rise"|"22847642"|"7979332"
|||"Rise"|"22847641"|"7979331"
|||"Rise"|"22847666"|"7979356"
|||"Rise"|"22847665"|"7979355"
|||"Talf"|"22847664"|"7979354"
