1	NY	Zenith	1999	2.13607	2.18587	-3.03268	7.30483	0.00	1.46	0.39
2	NY	Zenith	1998	0.47288	0.18572	0.03372	0.91204	0.01	19.04	3.05
8	NY	Squeen	2000	1.17716	0.14263	0.83989	1.51443	1.50	24.30	6.58
11	NY	Bold	2001	0.33829	0.05394	0.21626	0.46031	20.49	77.31	45.91
22a	NY	Zenith	1997	0.78559	0.24789	-0.00331	1.57450	1.40	19.40	8.10
22b	NY	Rival	1997	-0.50102	0.42602	-1.85679	0.85476	1.50	6.30	3.73
31	MI	HMX83865	1993	0.31888	0.01484	0.27163	0.36612	5.40	57.50	18.73
35	MI	YBelle	1992	0.14559	0.12224	-0.15352	0.44470	2.60	85.80	22.96
50	NY	Jubilee	1984	-0.79923	0.31152	-1.79063	0.19217	8.08	15.50	11.73
59	IL	FSSweet	1984	0.63267	0.02300	0.58577	0.67958	5.59	62.83	38.07
60	IL	FSSweet	1985	1.08843	0.06339	0.95246	1.22439	10.45	55.20	26.51
61	IL	FSSweet	1986	0.66299	0.25871	0.09357	1.23241	1.55	17.65	9.54
62	IL	Gcup	1984	0.85302	0.04194	0.76626	0.93979	15.45	59.91	39.79
63	IL	Gcup	1985	0.55555	0.03612	0.48142	0.62967	7.60	50.08	27.63
64	IL	Gcup	1986	0.15786	0.28335	-0.44282	0.75854	1.67	20.57	6.22
65	IL	Stylepak	1984	0.62416	0.01996	0.58344	0.66488	23.63	67.68	38.94
66	IL	Stylepak	1985	0.37280	0.02808	0.31402	0.43157	7.50	49.84	25.70
67	IL	Stylepak	1986	0.78146	0.14652	0.47233	1.09058	1.42	17.40	6.72
70	IL	SnowWhite	2001	0.59867	0.01999	0.55697	0.64036	23.00	65.00	36.95
71	IL	Sterling	2001	0.40333	0.01810	0.36559	0.44108	18.00	59.00	35.81
