3622	3426	3446	3720	3165	4116	3354	4529	3136
3353	2972	3100	2889	2785	2774	2843	2688	3024
4433	4349	4526	7117	5995	6150	5052	3713	6430
6873	7571	7727	8385	8106	7637	7444	5816	8091
6721	5627	6294	7332	7174	7262	5544	4117	6920
5849	5932	5886	6439	6359	6380	5820	5522	6282
4601	4126	4537	6331	6328	5961	4346	4321	4889
5010	5196	5455	6351	6070	5730	5013	4551	5278
4415	4211	4749	5161	5454	5807	3862	5243	4989
3344	4415	4295	5618	4498	5333	5276	2940	5244
2634	2282	1632	3211	3059	2735	2233	3073	3011
3728	3919	4082	4539	4079	4878	4767	3393	4500
4587	4396	5018	4988	5776	5088	4056	4806	4822
5554	4937	5117	4543	6173	5205	5389	5248	3780
4566	4963	5136	6030	5831	5980	4342	4442	5781
4380	5201	4178	5672	5414	5591	4277	4476	5407
6437	6036	6459	6678	6882	6916	6745	4986	5610
3088	2515	2832	3537	3529	3061	2998	3556	3949
6011	5278	4731	2516	2732	2983	4206	4484	3309
4647	4714	5448	4864	5588	5603	4318	4001	5553
